reporter_area_code,reporter_area_label,indicator_code,indicator_label,indicator_previous_code,partner_area_code,partner_area_label,year,value,flag,flag_label,unit,notes
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),1995,38.128,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),1996,29.051,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),1997,24.253,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),1998,52.312,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),1999,37.551,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2000,37.573,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2001,40.282,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2002,36.503,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2003,30.244,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2004,35.507,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2005,27.45,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2006,22.655,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2007,27.777,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2008,29.753,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2009,28.375,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2010,27.2,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2011,31.64,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2012,41.583,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2013,51.298,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,10000,Africa (UNWTO total),2014,56.019,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),1995,201.149,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),1996,244.497,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),1997,208.726,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),1998,201.488,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),1999,186.727,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2000,232.117,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2001,243.097,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2002,222.052,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2003,175.546,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2004,209.779,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2005,209.511,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2006,184.525,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2007,220.202,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2008,239.678,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2009,229.824,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2010,258.584,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2011,297.061,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2012,312.209,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2013,333.15,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,20000,Americas (UNWTO total),2014,358.763,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,1995,320.494,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,1996,380.475,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,1997,539.156,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,1998,394.543,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,1999,531.211,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2000,459.994,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2001,397.982,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2002,346.245,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2003,268.538,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2004,406.389,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2005,391.862,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2006,226.981,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2007,314.432,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2008,450.178,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2009,584.437,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2010,771.792,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2011,931.109,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2012,961.595,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2013,997.984,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,36,Australia,2014,1127.582,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,1995,18.275,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,1996,16.87,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,1997,12.35,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,1998,14.515,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,1999,12.458,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2000,18.791,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2001,21.784,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2002,18.874,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2003,14.22,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2004,24.235,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2005,19.365,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2006,18.759,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2007,16.206,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2008,17.696,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2009,16.771,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2010,16.472,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2011,15.041,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2012,17.226,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2013,20.497,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,40,Austria,2014,22.481,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,1995,1.523,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,1996,0.276,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,1997,0.784,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,1998,1.034,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,1999,0.871,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,2000,0.663,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,2001,0.719,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,2002,0.854,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,2003,0.479,,,thousand trips,
360,Indonesia,INBD_TRIP_AREA_VSTR,inbound - trips - by area of residence - visitors,YB_122,48,Bahrain,2004,0.666,,,thousand trips,
